NO_GYOUMU,BRIDGE_ID,FLG_TABLET,NENGAPPI_TENKEN,NAME_TENKENSHA,SHINDAN_TENKEN,SHOKEN,NAME_SHISETSU_TENKEN,NAME_SHISETSU_KANA_TENKEN,IDO_START_TENKEN,KEIDO_START_TENKEN,NENGAPPI_KOUSHIN,BIKOU
1,BR0-221309-00514,0,20201010,(株)フジヤマ,2,主桁、横桁、床版、支承部の腐食には塗装塗替え工、舗装補修工による措置が望まれる。,豊岡桟道橋2,ﾄﾖｵｶｻﾝﾄﾞｳｷｮｳﾆ,35°00’48.33″,137°54’58.82″,,
1,BR0-221309-04203,1,20211010,(株)フジヤマ,,主桁、横桁、床版、支承部の腐食には塗装塗替え工、舗装補修工による措置が望まれる。,豊岡桟道橋2,ﾄﾖｵｶｻﾝﾄﾞｳｷｮｳﾆ,35°00’48.33″,137°54’58.82″,,
1,BR0-221309-00613,0,20201030,,3,主桁は、塗装塗替えによる措置が必要である。,春日橋1,ｶｽｶﾞﾊｼｲﾁ,34°55’15.20″,137°52’43.90″,,
1,BR0-221309-00614,0,20170424,(株)フジヤマ,3,支承部は、塗替え塗装工による措置が必要である。,新長久橋,ｼﾝﾁｮｳｷｭｳﾊﾞｼ,34°58’34.33″,137°53’49.19″,,
1,BR0-221309-00629,0,20201208,,1,主桁は、当て板補修工による措置が必要である。,錦橋,ｷﾝﾊﾞｼ,35°03’35.36″,137°45’49.38″,,
1,BR0-221309-00629,1,20211208,,4,主桁は、当て板補修工による措置が必要である。,錦橋,ｷﾝﾊﾞｼ,35°03’35.36″,137°45’49.38″,,
1,BR0-221309-04201,0,20181010,(株)フジヤマ,3,主桁、横桁、床版、支承部の腐食には塗装塗替え工、舗装補修工による措置が望まれる。,豊岡桟道橋2,ﾄﾖｵｶｻﾝﾄﾞｳｷｮｳﾆ,35°00’48.33″,137°54’58.82″,,
1,BR0-221309-04201,1,20211010,,,,,,,,,
1,BR0-221309-04202,1,20211010,(株)フジヤマ,3,主桁、横桁、床版、支承部の腐食には塗装塗替え工、舗装補修工による措置が望まれる。,豊岡桟道橋2,ﾄﾖｵｶｻﾝﾄﾞｳｷｮｳﾆ,35°00’48.33″,137°54’58.82″,,
1,BR0-221309-00577,0,20201123,,3,支柱は、断面修復工による措置が必要である。,相月橋1,ｱｲﾂﾞｷﾊﾞｼｲﾁ,35°06’46.37″,137°51’09.80″,,
