NO_GYOUMU,CODE_TENKEN_SHOKEN_TEMPLATE,CODE_BUZAI_ZAIRYOU,CODE_DAMAGE_SHURUI,CODE_SHINDAN,SHOKEN
1,17,0,0,1,道路橋の機能に支障が生じていない。
1,18,0,0,4,道路橋の機能に支障が生じているため、緊急に措置する必要がある。
1,1,1,1,2,"腐食箇所は局所的であり、著しい板厚減少等ではい。
道路橋の機能に支障が生じていないが、予防保全の観点から措置することが望ましい。"
1,2,1,1,3,"全体的に錆が拡がり、明らかな板厚減少等がある。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,3,1,2,2,"局所的に塗膜割れが生じ、亀裂が生じているものの線状でなく数も少ない。
道路橋の機能に支障が生じていないが、予防保全の観点から措置することが望ましい。"
1,4,1,2,3,"線状の亀裂が生じており、線状でない箇所においても数が多い。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,5,1,3,2,"ボルトにゆるみが生じており、その数が少ない。
道路橋の機能に支障が生じていないが、予防保全の観点から措置することが望ましい。"
1,6,1,3,3,"ボルトの脱落が生じており、その数が多い。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,7,1,5,2,"局所的な塗膜うきが発生し、部分的に下塗りが露出している。
道路橋の機能に支障が生じていないが、予防保全の観点から措置することが望ましい。"
1,8,1,5,3,"全体的に錆が拡がり、明らかな板厚減少等がある。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,9,2,6,2,"ひび割れ幅が大きく、ひび割れ間隔が小さい。
道路橋の機能に支障が生じていないが、予防保全の観点から措置することが望ましい。"
1,10,2,6,3,"ひび割れ幅が小さく、ひび割れ間隔が大きい。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,11,2,7,2,"剥離・うきが発生し、局所的に鉄筋が露出している。
道路橋の機能に支障が生じていないが、予防保全の観点から措置することが望ましい。"
1,12,2,7,3,"剥離が発生しており、鉄筋が露出し、鉄筋が著しく腐食している。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,13,99,15,2,"舗装に軽微なひび割れが発生し、その数が少ない。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,14,99,15,3,"舗装に多数のひび割れやたわみが発生している。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,15,99,16,2,"支障の可動状態や支持状態に異常が見られる。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
1,16,99,16,3,"支障の可動状態や支持状態に損傷が生じている。
道路橋の機能に支障が生じる可能性があり、早期に措置する必要がある。"
